"activity_id","activity","category","micromorts","period_type","default_freq","freq_label","freq_max","synergy_tag"
"mammogram_radiation_per_scan","Mammogram (radiation per scan)","Medical",0.1,"event",5,"times per year",100,NA
"dental_x_ray_radiation_per_scan","Dental X-ray (radiation per scan)","Medical",0.05,"event",5,"times per year",100,NA
"us_military_in_afghanistan_2010","US military in Afghanistan (2010)","Military",25,"day",365,"days per year",365,NA
"mt_everest_ascent","Mt. Everest ascent","Mountaineering",37932,"event",5,"times per year",100,NA
"himalayan_mountaineering","Himalayan mountaineering","Mountaineering",12000,"event",5,"times per year",100,NA
"matterhorn_ascent","Matterhorn ascent","Mountaineering",2840,"event",5,"times per year",100,NA
"logging_work_day","Logging (per work day)","Occupation",3.3,"day",365,"days per year",365,NA
"fishing_work_day","Commercial fishing (per work day)","Occupation",3,"day",365,"days per year",365,NA
"roofing_work_day","Roofing (per work day)","Occupation",1.9,"day",365,"days per year",365,NA
"ironworker_work_day","Structural iron/steel work (per work day)","Occupation",1.5,"day",365,"days per year",365,NA
"truck_driving_work_day","Truck driving (per work day)","Occupation",1.2,"day",365,"days per year",365,NA
"1_hour_in_a_coal_mine","1 hour in a coal mine","Occupation",1,"hour",100,"hours per year",2000,NA
"mining_work_day","Mining (per work day)","Occupation",0.9,"day",365,"days per year",365,NA
"agriculture_work_day","Agriculture (per work day)","Occupation",0.7,"day",365,"days per year",365,NA
"construction_work_day","Construction (all trades, per work day)","Occupation",0.5,"day",365,"days per year",365,NA
"interventional_cardiologist_annual","Interventional cardiologist (annual radiation)","Occupation",0.175,"year",1,"(annual rate)",1,NA
"all_workers_baseline","All US workers baseline (per work day)","Occupation",0.15,"day",365,"days per year",365,NA
"airline_pilot_annual","Airline pilot (annual radiation)","Occupation",0.15,"year",1,"(annual rate)",1,NA
"nuclear_worker_annual","Nuclear plant worker (annual radiation)","Occupation",0.1,"year",1,"(annual rate)",1,NA
"xray_tech_annual","X-ray technician (annual radiation)","Occupation",0.05,"year",1,"(annual rate)",1,NA
"dental_radiographer_annual","Dental radiographer (annual radiation)","Occupation",0.01,"year",1,"(annual rate)",1,NA
"base_jumping_per_jump","Base jumping (per jump)","Sport",430,"event",5,"times per year",100,NA
"scuba_diving_trained_yearly","Scuba diving, trained (yearly)","Sport",164,"year",1,"(annual rate)",1,NA
"american_football","American football","Sport",20,"event",5,"times per year",100,NA
"swimming","Swimming","Sport",12,"event",5,"times per year",100,NA
"skydiving_per_jump","Skydiving (per jump)","Sport",10,"event",5,"times per year",100,NA
"skydiving_uk","Skydiving (UK)","Sport",8,"event",5,"times per year",100,NA
"skydiving_us","Skydiving (US)","Sport",8,"event",5,"times per year",100,NA
"hang_gliding_per_flight","Hang gliding (per flight)","Sport",8,"event",5,"times per year",100,NA
"running_a_marathon","Running a marathon","Sport",7,"event",5,"times per year",100,NA
"scuba_diving_trained_per_dive","Scuba diving, trained (per dive)","Sport",5,"event",5,"times per year",100,NA
"rock_climbing_per_day","Rock climbing (per day)","Sport",3,"day",365,"days per year",365,NA
"skiing","Skiing","Sport",0.7,"day",365,"days per year",365,NA
"horse_riding","Horse riding","Sport",0.5,"event",5,"times per year",100,NA
"motorcycling_60_miles","Motorcycling (60 miles)","Travel",10,"event",5,"times per year",100,NA
"flying_12h","Flying (12h ultra-long-haul)","Travel",6.6,"event",5,"times per year",100,NA
"flying_8h","Flying (8h long-haul)","Travel",3.9,"event",5,"times per year",100,NA
"flying_5h","Flying (5h medium-haul)","Travel",1.75,"event",5,"times per year",100,NA
"flying_2h","Flying (2h short-haul)","Travel",1.1,"event",5,"times per year",100,NA
"driving_230_miles","Driving (230 miles)","Travel",1,"event",5,"times per year",100,NA
"train_1000_miles","Train (1000 miles)","Travel",1,"event",5,"times per year",100,NA
"walking_20_miles","Walking (20 miles)","Travel",1,"event",5,"times per year",100,NA
"executive_flyer_annual","Frequent executive flyer (annual cosmic)","Travel",0.15,"year",1,"(annual rate)",1,NA
"commuting_by_car_30_min","Commuting by car (30 min)","Travel",0.13,"event",5,"times per year",100,NA
"commuting_by_bicycle_30_min","Commuting by bicycle (30 min)","Travel",0.12,"event",5,"times per year",100,NA
"walking_1_trip_nyc","Walking (1 trip, NYC)","Travel",0.09,"event",5,"times per year",100,NA
"business_traveller_annual","Business traveller (annual cosmic)","Travel",0.0375,"year",1,"(annual rate)",1,NA
"annual_tourist_annual","Annual tourist flyer (annual cosmic)","Travel",0.006,"year",1,"(annual rate)",1,NA
"kangaroo_encounter","Kangaroo encounter","Wildlife",0.1,"event",5,"times per year",100,NA
"shark_encounter","Shark encounter (ocean swim)","Wildlife",0.06,"event",5,"times per year",100,NA
"bee_sting_general","Bee/wasp sting (general)","Wildlife",0.03,"event",5,"times per year",100,NA
