country_iso3,country_name,cause,year,deaths_per_100k
PHL,Philippines,Diarrheal diseases,2019,15.0
PHL,Philippines,Tuberculosis,2019,35.0
PHL,Philippines,HIV/AIDS,2019,1.2
PHL,Philippines,Malaria,2019,2.0
PHL,Philippines,Hepatitis,2019,6.0
PHL,Philippines,Meningitis,2019,4.5
POL,Poland,Lower respiratory infections,2019,22.0
POL,Poland,Diarrheal diseases,2019,0.5
POL,Poland,Tuberculosis,2019,1.5
POL,Poland,HIV/AIDS,2019,0.4
POL,Poland,Malaria,2019,0.0
POL,Poland,Hepatitis,2019,0.6
POL,Poland,Meningitis,2019,0.5
RUS,Russia,Lower respiratory infections,2019,35.0
RUS,Russia,Diarrheal diseases,2019,2.0
RUS,Russia,Tuberculosis,2019,8.5
RUS,Russia,HIV/AIDS,2019,12.0
RUS,Russia,Malaria,2019,0.0
RUS,Russia,Hepatitis,2019,3.0
RUS,Russia,Meningitis,2019,1.2
SWE,Sweden,Lower respiratory infections,2019,14.0
SWE,Sweden,Diarrheal diseases,2019,0.3
SWE,Sweden,Tuberculosis,2019,0.3
SWE,Sweden,HIV/AIDS,2019,0.3
SWE,Sweden,Malaria,2019,0.0
SWE,Sweden,Hepatitis,2019,0.3
SWE,Sweden,Meningitis,2019,0.2
TUR,Turkey,Lower respiratory infections,2019,28.0
TUR,Turkey,Diarrheal diseases,2019,2.5
TUR,Turkey,Tuberculosis,2019,3.5
TUR,Turkey,HIV/AIDS,2019,0.5
TUR,Turkey,Malaria,2019,0.1
TUR,Turkey,Hepatitis,2019,1.5
TUR,Turkey,Meningitis,2019,1.0
USA,United States,Lower respiratory infections,2019,15.0
USA,United States,Diarrheal diseases,2019,1.2
USA,United States,Tuberculosis,2019,0.1
USA,United States,HIV/AIDS,2019,1.5
USA,United States,Malaria,2019,0.0
USA,United States,Hepatitis,2019,0.5
USA,United States,Meningitis,2019,0.2
ZAF,South Africa,Lower respiratory infections,2019,85.0
ZAF,South Africa,Diarrheal diseases,2019,25.0
ZAF,South Africa,Tuberculosis,2019,55.0
ZAF,South Africa,HIV/AIDS,2019,150.0
ZAF,South Africa,Malaria,2019,2.0
ZAF,South Africa,Hepatitis,2019,8.0
ZAF,South Africa,Meningitis,2019,5.5
